_id,ltable_ID,rtable_ID,ltable_Title,ltable_ReleaseDate,ltable_Directors,ltable_Runtime,rtable_Title,rtable_ReleaseDate,rtable_Directors,rtable_Runtime,Match
7990,4347,208,Lone Survivor,1/9/14 0:00,Peter Berg,122 minutes,Lone Survivor,12/24/13 0:00,Peter Berg,121 minutes,1
7994,1041,211,Open Grave,1/2/14 0:00,Gonzalo Lâ€”pez-Gallego,102 minutes,Open Grave,1/2/14 0:00,Gonzalo Lâ€”pez-Gallego,102 minutes,1
8011,5261,213,Black Mass,9/17/15 0:00,Scott Cooper,120 minutes,Black Mass,9/18/15 0:00,Scott Cooper,122 minutes,1
8059,2137,213,Black Cobra,5/21/12 0:00,"Donovan Scott, Lilly Melgar",88 minutes,Black Mass,9/18/15 0:00,Scott Cooper,122 minutes,0
8304,1105,221,Schooled: The Price of College Sports,"Dec 31,9999","Trevor Martin, Jonathan Paley, Ross Finkel",87 minutes,The Wolf of Wall Street,12/25/13 0:00,Martin Scorsese,180 minutes,0
8306,851,221,100 Ghost Street: The Return Of Richard Speck,"Dec 31,9999",Martin Andersen,90 minutes,The Wolf of Wall Street,12/25/13 0:00,Martin Scorsese,180 minutes,0
8308,3029,221,Unsung Heroes: The Story of America's Female Patriots,"Dec 31,9999","Frank Martin, Franklin Martin",56 minutes,The Wolf of Wall Street,12/25/13 0:00,Martin Scorsese,180 minutes,0
8320,5720,221,The Wolf of Wall Street,12/24/13 0:00,Martin Scorsese,179 minutes,The Wolf of Wall Street,12/25/13 0:00,Martin Scorsese,180 minutes,1
8326,3762,221,The Doors: Mr. Mojo Risin - The Story of LA Woman,"Dec 31,9999",Martin R. Smith,94 minutes,The Wolf of Wall Street,12/25/13 0:00,Martin Scorsese,180 minutes,0
8333,1443,222,Winter Sleep,12/18/14 0:00,Nuri Bilge Ceylan,196 minutes,Winter Sleep,12/19/14 0:00,Nuri Bilge Ceylan,196 minutes,1
8412,37,225,Amphibious: Creature Of The Deep,"Dec 31,9999",Brian Yuzna,90 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8428,4172,225,Ghost Rider: Spirit of Vengeance,2/16/12 0:00,"Mark Neveldine, Brian Taylor",95 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8432,5205,225,The Internet's Own Boy: The Story of Aaron Swartz,6/26/14 0:00,Brian Knappenberger,105 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8457,5780,225,Fading Of The Cries,7/7/11 0:00,Brian Metcalf,93 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8470,6330,225,A Bag of Hammers,5/10/12 0:00,Brian Crano,87 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8485,4582,225,Alien Boy: The Life And Death Of James Chasse,2/14/13 0:00,Brian Lindstrom,90 minutes,Casualties of War,8/18/89 0:00,Brian De Palma,113 minutes,0
8558,2069,227,I'll See You in My Dreams,5/14/15 0:00,Brett Haley,95 minutes,I'll See You in My Dreams,1/27/15 0:00,Brett Haley,92 minutes,1
8566,1706,227,My Fair Zombie,"Dec 31,9999",Brett Kelly,85 minutes,I'll See You in My Dreams,1/27/15 0:00,Brett Haley,92 minutes,0
8587,1172,228,Miss Nobody,"Dec 31,9999",Tim Cox,90 minutes,Miss Peregrine's Home for Peculiar Children,9/30/16 0:00,Tim Burton,127 minutes,0
8611,4346,228,Home,3/25/15 0:00,Tim Johnson,93 minutes,Miss Peregrine's Home for Peculiar Children,9/30/16 0:00,Tim Burton,127 minutes,0
8741,4807,233,Rage,7/10/14 0:00,Paco Cabezas,98 minutes,Rage,5/9/14 0:00,Paco Cabezas,98 minutes,1
8830,1950,238,Safety Not Guaranteed,6/7/12 0:00,Colin Trevorrow,86 minutes,Safety Not Guaranteed,6/8/12 0:00,Colin Trevorrow,85 minutes,1
8896,7332,240,Fifty Shades of Grey,2/12/15 0:00,Sam Taylor-Johnson,110 minutes,Fifty Shades of Grey,2/13/15 0:00,Sam Taylor-Johnson,125 minutes,1
8898,7255,240,The Return Of Joe Rich,"Dec 31,9999",Sam Auster,90 minutes,Fifty Shades of Grey,2/13/15 0:00,Sam Taylor-Johnson,125 minutes,0
8902,5179,240,N.A.S.A.: The Spirit of Apollo,"Dec 31,9999","Sam Spiegel, Syd Garon",58 minutes,Fifty Shades of Grey,2/13/15 0:00,Sam Taylor-Johnson,125 minutes,0
8914,2419,240,The Legend Of Six Fingers,"Dec 31,9999",Sam Qualiana,0,Fifty Shades of Grey,2/13/15 0:00,Sam Taylor-Johnson,125 minutes,0
8919,3195,240,Stand Clear Of The Closing Doors,5/22/14 0:00,Sam Fleischner,130 minutes,Fifty Shades of Grey,2/13/15 0:00,Sam Taylor-Johnson,125 minutes,0
8977,408,242,Stephen King's A Good Marriage,10/2/14 0:00,Peter Askin,90 minutes,The Good Dinosaur,11/25/15 0:00,Peter Sohn,93 minutes,0
8978,3481,242,The Good Dinosaur,11/24/15 0:00,Peter Sohn,100 minutes,The Good Dinosaur,11/25/15 0:00,Peter Sohn,93 minutes,1
9010,3453,242,A Good Old Fashioned Orgy,9/1/11 0:00,"Alex Gregory, Peter Huyck",95 minutes,The Good Dinosaur,11/25/15 0:00,Peter Sohn,93 minutes,0
9064,3284,243,The Last Soul On A Summer Night,"Dec 31,9999",Daniel Nearing,72 minutes,The Last Exorcism,8/27/10 0:00,Daniel Stamm,87 minutes,0
9277,863,249,The Forger,7/2/12 0:00,Lawrence Roeck,92 minutes,The Forger,3/9/11 0:00,Lawrence Roeck,96 minutes,1
9279,2874,250,This is 40,12/20/12 0:00,Judd Apatow,134 minutes,This Is 40,12/21/12 0:00,Judd Apatow,134 minutes,1
9438,4335,255,The Brass Teapot,4/4/13 0:00,Ramaa Mosley,101 minutes,The Brass Teapot,4/5/13 0:00,Ramaa Mosley,100 minutes,1
9683,588,261,The Pyramid,12/4/14 0:00,"GrÅ_gory Levasseur, Simone Chiesa, Roberto Albanesi, Antonio Zannone, Alex Visani, Luca Alessandro",90 minutes,The Pyramid,12/5/14 0:00,"GrÅ_gory Levasseur, Simone Chiesa, Roberto Albanesi, Antonio Zannone, Alex Visani, Luca Alessandro",89 minutes,1
9687,5423,262,Penguins Of Madagascar,11/25/14 0:00,"Eric Darnell, Simon J. Smith, Simon Smith, J.P. Simon",92 minutes,Journey to the Center of the Earth,7/11/08 0:00,Eric Brevig,93 minutes,0
9709,4306,262,Chilling Visions: 5 Senses of Fear,5/15/13 0:00,"Miko Hughes, Nick Everhart, Emily Hagins, Andy Mitton, Eric England, Jesse Holland (II)",92 minutes,Journey to the Center of the Earth,7/11/08 0:00,Eric Brevig,93 minutes,0
9712,2008,262,Four of Hearts,"Dec 31,9999","Darrin Dewitt Henson, Eric Haywood",99 minutes,Journey to the Center of the Earth,7/11/08 0:00,Eric Brevig,93 minutes,0
9723,371,262,Heroes Of Dirt,9/3/15 0:00,Eric Bugbee,102 minutes,Journey to the Center of the Earth,7/11/08 0:00,Eric Brevig,93 minutes,0
9725,6262,262,Conte d'hiver (A Tale of Winter),1/28/92 0:00,Eric Rohmer,114 minutes,Journey to the Center of the Earth,7/11/08 0:00,Eric Brevig,93 minutes,0
9756,4417,263,4 Dead Girls: The Soul Taker,"Dec 31,9999","Todd Johnson, Mike Campbell",95 minutes,The Scorpion King 4: Quest for Power,1/21/15 0:00,Mike Elliott,105 minutes,0
9772,5215,263,The Scorpion King 4: Quest for Power,"Dec 31,9999",Mike Elliott,65 minutes,The Scorpion King 4: Quest for Power,1/21/15 0:00,Mike Elliott,105 minutes,1
9791,1467,264,Step Up: All In,8/7/14 0:00,Trish Sie,112 minutes,Step Up All In,7/25/14 0:00,Trish Sie,112 minutes,0
9844,1867,266,Norwegian Wood,1/5/12 0:00,"Anh Hung Tran, No Zin Soo",133 minutes,Norwegian Wood,12/20/10 0:00,"Anh Hung Tran, No Zin Soo",133 minutes,1
10028,2301,271,The Lone Ranger,7/2/13 0:00,Gore Verbinski,149 minutes,The Lone Ranger,7/3/13 0:00,Gore Verbinski,149 minutes,1
10191,1371,273,Hateship Loveship,4/10/14 0:00,Liza Johnson,102 minutes,Hateship Loveship,4/11/14 0:00,Liza Johnson,103 minutes,1
10367,1871,276,Ain't Them Bodies Saints,8/15/13 0:00,David Lowery,105 minutes,Ain't Them Bodies Saints,8/16/13 0:00,David Lowery,96 minutes,1
10493,6761,277,Too Late Blues,11/6/61 0:00,John Cassavetes,100 minutes,The Blues Brothers,6/17/80 0:00,John Landis,133 minutes,0
10890,2033,290,Operator,"Dec 31,9999","Amariah Olson, Obin Olson",84 minutes,Operator,8/21/15 0:00,"Amariah Olson, Obin Olson",88 minutes,1
10911,4575,291,Beware Of Mr. Baker,11/27/12 0:00,Jay Bulger,100 minutes,The Dukes of Hazzard,8/5/05 0:00,Jay Chandrasekhar,104 minutes,0
10926,3218,292,Money Monster,5/12/16 0:00,Jodie Foster,90 minutes,Money Monster,5/13/16 0:00,Jodie Foster,98 minutes,1
10935,5369,294,Warrior,9/8/11 0:00,Gavin O'Connor,139 minutes,Warrior,9/9/11 0:00,Gavin O'Connor,140 minutes,1
10967,4709,296,The Hobbit: An Unexpected Journey,12/13/12 0:00,Peter Jackson,170 minutes,Bill & Ted's Bogus Journey,7/19/91 0:00,Peter Hewitt,98 minutes,0
11036,1028,297,Flight World War II,6/1/15 0:00,Emile Edwin Smith,85 minutes,The Land Before Time II: The Great Valley Adventure,12/13/94 0:00,Roy Allen Smith,73 minutes,0
11117,412,298,Decoding Annie Parker,5/1/14 0:00,Steven Bernstein,100 minutes,Decoding Annie Parker,4/4/13 0:00,Steven Bernstein,91 minutes,1
11171,1031,299,Sector 7,9/14/11 0:00,Kim Ji-Hoon,112 minutes,Sector 7,10/14/11 0:00,Kim Ji-Hoon,101 minutes,1
11234,2648,300,Green Lantern,6/16/11 0:00,"Martin Campbell, Greg Berlanti",113 minutes,Green Lantern,6/16/11 0:00,"Martin Campbell, Greg Berlanti",114 minutes,1
11552,3256,305,The Human Race,6/12/14 0:00,Paul Hough,88 minutes,Death Race,8/22/08 0:00,Paul W.S. Anderson,105 minutes,0
11653,536,307,Coriolanus,1/12/11 0:00,Ralph Fiennes,124 minutes,Coriolanus,1/19/12 0:00,Ralph Fiennes,123 minutes,1
11820,6902,309,Before Midnight,5/23/13 0:00,Richard Linklater,108 minutes,Before Sunset,2/10/04 0:00,Richard Linklater,77 minutes,0
11859,4026,311,I Kissed A Vampire,"Dec 31,9999",Chris Sean Nolan,110 minutes,I Know Who Killed Me,7/27/07 0:00,Chris Sivertson,105 minutes,0
11862,2622,311,Despicable Me 2,7/2/13 0:00,"Chris Renaud, Pierre Coffin",98 minutes,I Know Who Killed Me,7/27/07 0:00,Chris Sivertson,105 minutes,0
12068,2652,318,Transformers: Age of Extinction,6/26/14 0:00,Michael Bay,157 minutes,Transformers: The Last Knight,6/23/17 0:00,Michael Bay,0 minutes,0
12241,2762,319,Thomas & Friends: King Of The Railway,"Dec 31,9999","David Baas, Rob Silvestri",60 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12244,1681,319,Rise Of The Fellowship,12/2/13 0:00,"Ron Newcomb, Rob Newcomb",92 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12252,5258,319,Edge of Winter,8/11/16 0:00,Rob Connolly,90 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12254,993,319,The Magic of Belle Isle,7/5/12 0:00,Rob Reiner,109 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,1
12258,5031,319,ABCs of Death 2,10/30/14 0:00,"Vincenzo Natali, Larry Fessenden, Various, Bill Plympton, Robert Morgan, Julian Gilbey, Todd Rohal, Julian Barratt, Chris Nash, Alexandre Bustillo, Erik Matti, Lancelot Oduwa Imasuen, Julien Maury, Rodney Ascher, Dennison Ramalho, Kristina Buozyte, Juan Martâ€™nez Moreno, Alejandro BruguÅ_s, Marvin Kren, Evan Katz, Jen Soska, Sylvia Soska , Rob Boocheck, Jerome Sable, Ahron Keshales, Navot Papushado, Bruno Samper, Jim Hosking, Sâ„¢ichi Umezawa, Steven Kostanski, Hajime Ohata",125 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12263,1072,319,Enemy of the Reich: The Noor Inayat Khan Story,"Dec 31,9999","Robert H. Gardner, Rob Gardner",60 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12266,4404,319,The Fundamentals of Caring,"Dec 31,9999",Rob Burnett,93 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12267,4981,319,Pirates of the Caribbean: On Stranger Tides,5/19/11 0:00,"Rob Marshall, Dariusz Wolski",137 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12271,3001,319,Enemies of the People,7/29/10 0:00,"Rob Lemkin, Thet Sambath",93 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12272,7053,319,Birth Of The Living Dead,11/5/13 0:00,Rob Kuhns,76 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12274,892,319,The Lords of Salem,4/18/13 0:00,Rob Zombie,101 minutes,The Magic of Belle Isle,7/6/12 0:00,Rob Reiner,109 minutes,0
12496,3818,322,This Is Where I Leave You,9/18/14 0:00,Shawn Levy,103 minutes,This Is Where I Leave You,9/19/14 0:00,Shawn Levy,103 minutes,1
12500,2346,322,Before I Disappear,11/27/14 0:00,Shawn Christensen,93 minutes,This Is Where I Leave You,9/19/14 0:00,Shawn Levy,103 minutes,0
12502,5220,323,A Walk In The Woods,9/1/15 0:00,Ken Kwapis,98 minutes,A Walk in the Woods,9/2/15 0:00,Ken Kwapis,104 minutes,1
12522,4939,324,The Other Man: F.W. de Klerk and the End of Apartheid,2/5/15 0:00,Nicolas Rossier,75 minutes,The Man Who Fell to Earth,5/28/76 0:00,Nicolas Roeg,138 minutes,0
12524,4306,325,Chilling Visions: 5 Senses of Fear,5/15/13 0:00,"Miko Hughes, Nick Everhart, Emily Hagins, Andy Mitton, Eric England, Jesse Holland (II)",92 minutes,Forces of Nature,3/12/99 0:00,Bronwen Hughes,105 minutes,0
12599,5778,326,Vice,1/15/15 0:00,Brian A. Miller,96 minutes,Vice,1/16/15 0:00,Brian A. Miller,96 minutes,1
12657,5794,327,House of Dark Shadows,10/27/70 0:00,Dan Curtis,97 minutes,The Return of the Living Dead,8/16/85 0:00,Dan O'Bannon,91 minutes,0
12678,983,327,Night of Dark Shadows,8/3/71 0:00,"Dan Curtis, Alex Stevens",97 minutes,The Return of the Living Dead,8/16/85 0:00,Dan O'Bannon,91 minutes,0
12679,3161,327,Legends of Oz: Dorothy's Return,5/8/14 0:00,"Will Finn, Dan St. Pierre, Daniel St. Pierre",91 minutes,The Return of the Living Dead,8/16/85 0:00,Dan O'Bannon,91 minutes,0
12688,1911,327,Katy Perry: Part of Me,7/4/12 0:00,"Dan Cutforth, Jane Lipsitz",93 minutes,The Return of the Living Dead,8/16/85 0:00,Dan O'Bannon,91 minutes,0
12698,4532,329,Michael,2/14/12 0:00,Markus Schleinzer,98 minutes,Michael,5/12/11 0:00,Markus Schleinzer,96 minutes,1
12797,3441,332,Sparks,2/28/14 0:00,"Christopher Folino, Todd Burrows",90 minutes,Sparks,3/1/13 0:00,"Christopher Folino, Todd Burrows",90 minutes,1
12807,7008,333,Hotel Transylvania,9/27/12 0:00,Genndy Tartakovsky,91 minutes,Hotel Transylvania,9/27/12 0:00,Genndy Tartakovsky,91 minutes,1
12960,3445,335,Captain America: The First Avenger,7/21/11 0:00,Joe Johnston,124 minutes,Captain America: The First Avenger,7/22/11 0:00,Joe Johnston,124 minutes,1
12970,763,337,My Way,12/30/11 0:00,"Je-gyu Kang, Kang Je-Kyu",66 minutes,My Way,4/20/12 0:00,"Je-gyu Kang, Kang Je-Kyu",137 minutes,1
13002,3829,339,Seeking Justice,3/15/12 0:00,Roger Donaldson,105 minutes,Seeking Justice,3/16/12 0:00,Roger Donaldson,105 minutes,1
13155,264,342,Annabelle,10/2/14 0:00,John R. Leonetti,98 minutes,Annabelle,10/3/14 0:00,John R. Leonetti,99 minutes,1
13253,4824,343,Macbeth,12/3/15 0:00,Justin Kurzel,113 minutes,Macbeth,12/4/15 0:00,Justin Kurzel,113 minutes,1
13284,7047,344,Steve Jobs,10/22/15 0:00,Danny Boyle,123 minutes,Steve Jobs,9/5/15 0:00,Danny Boyle,122 minutes,1
13317,3290,347,Ted,6/28/12 0:00,Seth MacFarlane,107 minutes,Ted,6/29/12 0:00,Seth MacFarlane,106 minutes,1
13771,144,354,Wild Tales,2/19/15 0:00,Damiâ€¡n Szifron,122 minutes,Wild Tales,11/20/14 0:00,Damiâ€¡n Szifron,125 minutes,1
14032,5834,362,That's My Boy,6/14/12 0:00,Sean Anders,116 minutes,That's My Boy,6/15/12 0:00,Sean Anders,116 minutes,1
14126,4371,363,The Boy,8/17/15 0:00,Craig William Macneill,105 minutes,The Boy,1/22/16 0:00,Craig William Macneill,97 minutes,1
14136,6140,363,The Boy,1/21/16 0:00,William Brent Bell,98 minutes,The Boy,1/22/16 0:00,William Brent Bell,97 minutes,1
14143,1554,364,The Witch,3/31/16 0:00,Robert Eggers,92 minutes,The Witch,1/23/15 0:00,Robert Eggers,92 minutes,1
14541,2682,366,The Age of Adaline,4/23/15 0:00,Lee Toland Krieger,112 minutes,The Age of Adaline,4/24/15 0:00,Lee Toland Krieger,112 minutes,1
14674,3400,369,The Kid with a Bike,3/15/12 0:00,"Jean-Pierre Dardenne, Luc Dardenne",87 minutes,The Kid with a Bike,5/15/11 0:00,"Jean-Pierre Dardenne, Luc Dardenne",87 minutes,1
14773,1667,373,The Skin I Live In,10/13/11 0:00,Pedro Almodâ€”var,117 minutes,The Skin I Live In,10/14/11 0:00,Pedro Almodâ€”var,117 minutes,1
14820,5979,375,The Company You Keep,4/4/13 0:00,Robert Redford,121 minutes,The Company You Keep,4/4/13 0:00,Robert Redford,121 minutes,1
14955,2361,380,"I, Frankenstein",1/23/14 0:00,Stuart Beattie,92 minutes,"I, Frankenstein",1/24/14 0:00,Stuart Beattie,92 minutes,1
15068,3962,383,The SpongeBob Movie: Sponge Out of Water,2/5/15 0:00,Paul Tibbitt,100 minutes,The SpongeBob Movie: Sponge Out of Water,2/6/15 0:00,Paul Tibbitt,93 minutes,1
15147,2769,385,God Bless America,5/10/12 0:00,Bobcat Goldthwait,104 minutes,God Bless America,5/11/12 0:00,Bobcat Goldthwait,104 minutes,1
15368,785,389,Lola Versus,6/7/12 0:00,Daryl Wein,86 minutes,Lola Versus,4/24/12 0:00,Daryl Wein,87 minutes,1
15629,970,392,Ice Age: A Mammoth Christmas,"Dec 31,9999",Karen Disher,26 minutes,Ice Age: A Mammoth Christmas,11/24/11 0:00,Karen Disher,26 minutes,1
15984,3792,396,Machete Kills,10/10/13 0:00,Robert Rodriguez,108 minutes,Machete Kills,10/11/13 0:00,Robert Rodriguez,107 minutes,1
16071,4677,400,Midnight in Paris,6/9/11 0:00,Woody Allen,94 minutes,Midnight in Paris,5/20/11 0:00,Woody Allen,94 minutes,1
16326,1592,410,The Wedding Ringer,1/15/15 0:00,Jeremy Garelick,101 minutes,The Wedding Ringer,1/16/15 0:00,Jeremy Garelick,101 minutes,1
16667,1860,416,Let Us Prey,"Dec 31,9999","Brian S. O'Malley, Brian S. O'Malley",89 minutes,Let Us Prey,3/25/15 0:00,"Brian S. O'Malley, Brian S. O'Malley",88 minutes,1
16765,4315,418,Bad Words,3/27/14 0:00,Jason Bateman,89 minutes,Bad Words,3/14/14 0:00,Jason Bateman,88 minutes,1
16862,1148,422,Love & Friendship,5/12/16 0:00,Whit Stillman,94 minutes,Love & Friendship,1/23/16 0:00,Whit Stillman,94 minutes,1
16932,5070,423,The Nut Job,1/16/14 0:00,Peter Lepeniotis,86 minutes,The Nut Job,1/17/14 0:00,Peter Lepeniotis,85 minutes,1
17190,4869,429,Kill the Messenger,10/9/14 0:00,Michael Cuesta,112 minutes,Kill the Messenger,10/10/14 0:00,Michael Cuesta,112 minutes,1
17339,5564,432,Pound Of Flesh,5/14/15 0:00,Ernie Barbarash,104 minutes,Pound of Flesh,5/7/15 0:00,Ernie Barbarash,104 minutes,1
17473,2318,435,"Monsters, Inc.",11/1/01 0:00,"Lee Unkrich, David Silverman, Peter Docter, Pete Docter",92 minutes,"Monsters, Inc.",10/28/01 0:00,"Lee Unkrich, David Silverman, Peter Docter, Pete Docter",92 minutes,1
17617,3604,438,Thanks For Sharing,9/19/13 0:00,Stuart Blumberg,112 minutes,Thanks for Sharing,9/19/13 0:00,Stuart Blumberg,112 minutes,1
17647,2540,440,The Girl King,12/3/15 0:00,Mika KaurismÅ ki,106 minutes,The Girl King,9/4/15 0:00,Mika KaurismÅ ki,106 minutes,1
17860,644,443,Whiskey Tango Foxtrot,3/3/16 0:00,"Glenn Ficarra, John Requa",111 minutes,Whiskey Tango Foxtrot,3/4/16 0:00,"Glenn Ficarra, John Requa",112 minutes,1
18005,6979,445,The Gift,8/6/15 0:00,Joel Edgerton,108 minutes,The Gift,8/7/15 0:00,Joel Edgerton,108 minutes,1
18203,3455,450,Chronicle,2/2/12 0:00,"Josh Trank , Joshua Trank",83 minutes,Chronicle,2/2/12 0:00,"Josh Trank , Joshua Trank",84 minutes,1
18217,4129,451,Vacation,7/28/15 0:00,"Jonathan Goldstein, John Francis Daley, Jonathan M. Goldstein",99 minutes,Vacation,7/29/15 0:00,"Jonathan Goldstein, John Francis Daley, Jonathan M. Goldstein",99 minutes,1
18525,2162,457,Jessabelle,11/6/14 0:00,Kevin Greutert,90 minutes,Jessabelle,8/29/14 0:00,Kevin Greutert,90 minutes,1
18530,1968,458,Alien Outpost,1/29/15 0:00,Jabbar Raisani,90 minutes,Alien Outpost,1/30/15 0:00,Jabbar Raisani,93 minutes,1
18568,494,459,Terminator Genisys,6/30/15 0:00,Alan Taylor,119 minutes,Terminator Genisys,7/1/15 0:00,Alan Taylor,125 minutes,1
18780,3194,464,The Hobbit: The Desolation of Smaug,12/12/13 0:00,Peter Jackson,161 minutes,The Hobbit: The Desolation of Smaug,12/13/13 0:00,Peter Jackson,161 minutes,1
18793,2316,465,The Right Kind of Wrong,3/13/14 0:00,Jeremiah S. Chechik,97 minutes,The Right Kind of Wrong,2/6/14 0:00,Jeremiah S. Chechik,97 minutes,1
18858,2454,467,Holy Motors,10/16/12 0:00,Leos Carax,115 minutes,Holy Motors,10/17/12 0:00,Leos Carax,115 minutes,1
18873,6492,468,The Five-Year Engagement,4/26/12 0:00,Nicholas Stoller,124 minutes,The Five-Year Engagement,4/27/12 0:00,Nicholas Stoller,124 minutes,1
18903,2949,470,Rock the Kasbah,10/22/15 0:00,Barry Levinson,100 minutes,Rock the Kasbah,10/23/15 0:00,Barry Levinson,100 minutes,1
19076,3776,473,The Good Lie,10/2/14 0:00,"Philippe Falardeau, Shawn Linden",110 minutes,The Good Lie,9/10/14 0:00,"Philippe Falardeau, Shawn Linden",110 minutes,1
19379,6667,483,Cooties,9/17/15 0:00,"Jonathan Milott, Cary Murnion",87 minutes,Cooties,9/18/15 0:00,"Jonathan Milott, Cary Murnion",88 minutes,1
19434,1949,484,Rampart,2/9/12 0:00,Oren Moverman,107 minutes,Rampart,2/10/12 0:00,Oren Moverman,108 minutes,1
19479,135,489,Mama,1/17/13 0:00,Andy Muschietti,100 minutes,Mama,1/18/13 0:00,Andy Muschietti,100 minutes,1
19523,3155,492,The Purge,6/6/13 0:00,James DeMonaco,85 minutes,The Purge,6/6/13 0:00,James DeMonaco,86 minutes,1
19708,4187,496,Big Eyes,12/24/14 0:00,Tim Burton,106 minutes,Big Eyes,12/25/14 0:00,Tim Burton,105 minutes,1
20182,3363,510,Ant-Man,7/16/15 0:00,Peyton Reed,115 minutes,Ant-Man,6/29/15 0:00,Peyton Reed,115 minutes,1
20402,5315,512,American Heist,7/23/15 0:00,Sarik Andreasyan,94 minutes,American Heist,7/14/15 0:00,Sarik Andreasyan,94 minutes,1
20414,6391,513,The Kings of Summer,5/30/13 0:00,Jordan Vogt-Roberts,95 minutes,The Kings of Summer,1/19/13 0:00,Jordan Vogt-Roberts,93 minutes,1
20728,6560,520,Barbie: Princess Charm School,12/2/12 0:00,"Ezekiel Norton, Zeke Norton",86 minutes,Barbie: Princess Charm School,9/13/11 0:00,"Ezekiel Norton, Zeke Norton",79 minutes,1
21098,6802,528,"Love, Rosie",2/5/15 0:00,Christian Ditter,102 minutes,"Love, Rosie",12/6/14 0:00,Christian Ditter,102 minutes,1
21595,3257,538,Neighbors,5/8/14 0:00,Nicholas Stoller,97 minutes,Neighbors,5/9/14 0:00,Nicholas Stoller,96 minutes,1
21610,5750,539,Chinese Zodiac,10/17/13 0:00,Jackie Chan,141 minutes,Chinese Zodiac,10/18/13 0:00,Jackie Chan,120 minutes,1
21813,987,543,Man on a Ledge,1/26/12 0:00,Asger Leth,102 minutes,Man on a Ledge,1/27/12 0:00,Asger Leth,102 minutes,1
22001,2376,550,A Case of You,11/5/13 0:00,Kat Coiro,91 minutes,A Case of You,11/6/13 0:00,Kat Coiro,91 minutes,1
22379,2829,558,Butter,10/4/12 0:00,Jim Field Smith,91 minutes,Butter,9/4/11 0:00,Jim Field Smith,90 minutes,1
23182,6096,569,So Undercover,10/4/12 0:00,Tom Vaughan,96 minutes,So Undercover,1/1/12 0:00,Tom Vaughan,94 minutes,1
23219,6035,570,The Devil Inside,1/5/12 0:00,William Brent Bell,83 minutes,The Devil Inside,1/6/12 0:00,William Brent Bell,83 minutes,1
23310,1201,574,Enemy,3/13/14 0:00,Denis Villeneuve,90 minutes,Enemy,3/14/14 0:00,Denis Villeneuve,91 minutes,1
23325,4416,575,Sicario,10/1/15 0:00,Denis Villeneuve,121 minutes,Sicario,9/14/15 0:00,Denis Villeneuve,121 minutes,1
23337,4765,576,Bounty Killer,9/5/13 0:00,Henry Saine,92 minutes,Bounty Killer,9/6/13 0:00,Henry Saine,93 minutes,1
23515,389,580,Empire State,8/29/13 0:00,Dito Montiel,94 minutes,Empire State,9/3/13 0:00,Dito Montiel,94 minutes,1
24019,6515,588,The Loft,1/29/15 0:00,Erik Van Looy,103 minutes,The Loft,1/30/15 0:00,Erik Van Looy,108 minutes,1
24222,2810,592,The Descendants,11/17/11 0:00,Alexander Payne,115 minutes,The Descendants,11/18/11 0:00,Alexander Payne,115 minutes,1
24582,1445,597,Vehicle 19,6/13/13 0:00,Mukunda Michael Dewil,85 minutes,Vehicle 19,6/14/13 0:00,Mukunda Michael Dewil,85 minutes,1
25001,6457,604,Vampire Academy,2/6/14 0:00,Mark Waters (VIII),105 minutes,Vampire Academy,2/7/14 0:00,Mark Waters (VIII),104 minutes,1
25150,4075,607,Final Destination 5,8/11/11 0:00,Steven Quale,92 minutes,Final Destination 5,8/12/11 0:00,Steven Quale,95 minutes,1
25170,5338,608,Amateur Night,8/4/16 0:00,"Lisa Addario, Joe Syracuse",93 minutes,Amateur Night,8/5/16 0:00,"Lisa Addario, Joe Syracuse",89 minutes,1
25276,7187,611,Contraband,1/12/12 0:00,Baltasar Kormâ€¡kur,109 minutes,Contraband,1/13/12 0:00,Baltasar Kormâ€¡kur,109 minutes,1
25319,3795,612,Winnie the Pooh,7/14/11 0:00,"Stephen J. Anderson, Don Hall, Stephen John Anderson",73 minutes,Winnie the Pooh,7/14/11 0:00,"Stephen J. Anderson, Don Hall, Stephen John Anderson",63 minutes,1
