ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime,PartialURL
309,Rift,R,4/28/2011 0:00,NOT_AVAILABLE,LazRael Lison,"Drama, Horror, Mystery & Suspense",0,100 minutes,rift_2011
310,Covert Operation,R,"Dec 31,9999",Mathieu Weschler,Mathieu Weschler,"Action & Adventure, Mystery & Suspense",0,88 minutes,covert_operation
311,Superman Unbound,PG-13,"Dec 31,9999","Geoff Johns, Bob Goodman",James Tucker,"Action & Adventure, Animation",0,75 minutes,superman_unbound
312,Jimmy P.,NR,2/13/2014 0:00,"Arnaud Desplechin, Kent Jones, Julie Peyr",Arnaud Desplechin,Drama,0,117 minutes,jimmy_p
313,The Odd Angry Shot,NR,2/28/1979 0:00,"Tom Jeffrey, William L. Nagle",Tom Jeffrey,"Action & Adventure, Comedy, Drama",0,90 minutes,odd_angry_shot
314,Tortoise In Love,NR,"Dec 31,9999",Guy Browning,Guy Browning,"Art House & International, Comedy",0,84 minutes,tortoise_in_love_2012
315,Tied In Blood: A Bone Chilling Ghost Story,NR,"Dec 31,9999",David Ross,Matthew Lawrence,"Horror, Special Interest",0,90 minutes,tied_in_blood_a_bone_chilling_ghost_story
316,Twice Born,R,12/5/2013 0:00,"Sergio Castellitto, Margaret Mazzantini",Sergio Castellitto,Drama,"$14,947.00 ",124 minutes,twice_born
317,Spectre,PG-13,11/5/2015 0:00,"John Logan, Neal Purvis, Robert Wade",Sam Mendes,Action & Adventure,0,150 minutes,spectre_2015
318,Jack of the Red Hearts,PG,2/25/2015 0:00,Jennifer Deaton,Janet Grillo,Drama,0,100 minutes,jack_of_the_red_hearts
319,His Way,NR,"Dec 31,9999",Douglas McGrath,Douglas McGrath,"Documentary, Special Interest, Television",0,87 minutes,his_way
320,The Lackey,NR,"Dec 31,9999","Shaun Paul Piccinino, Steve Pisa","Shaun Paul Piccinino, Jason Sanders",Action & Adventure,0,94 minutes,the_lackey_2013
321,The Asian Connection,R,5/12/2016 0:00,D. Glase Lomond,Daniel Zirilli,NOT_AVAILABLE,0,90 minutes,the_asian_connection_2016
322,Chico & Rita,NR,2/9/2012 0:00,"Fernando Trueba, Ignacio Martìnez de Pisón","Fernando Trueba, Javier Mariscal, Tono Errando","Animation, Drama","$247,455.00 ",94 minutes,chico_and_rita
323,Blue Lagoon: The Awakening,NR,"Dec 31,9999","Matt Heller, Heather Rutman","Mikael Salomon, Michael Salomon, Jake Newsome","Action & Adventure, Drama, Television, Romance",0,89 minutes,blue_lagoon_the_awakening
324,Amnesiac,NR,"Dec 31,9999",NOT_AVAILABLE,Martin Rutley,"Art House & International, Drama, Horror, Mystery & Suspense",0,90 minutes,amnesiac
325,Maggie,PG-13,5/7/2015 0:00,John Scott 3,Henry Hobson,"Drama, Horror, Mystery & Suspense",0,95 minutes,maggie_2015
326,Forever,R,"Dec 31,9999","Gill Dennis, Tatia Pilieva",Tatia Pilieva,Drama,0,0,forever_2015
327,Branded to Kill,NR,12/31/1966 0:00,"Hachiro Guryu, Takeo Kimura",Seijun Suzuki,"Action & Adventure, Art House & International, Drama",0,91 minutes,branded_to_kill
328,Sinbad the Sailor,NR,1/12/1947 0:00,"Derek N. Twist, John Twist",Richard Wallace,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",0,117 minutes,1019045-sinbad_the_sailor
329,Little Bi Peep,NR,"Dec 31,9999",Anna Shields,"Jon Russell Cring, Anna Shields","Comedy, Drama, Romance",0,78 minutes,little_bi_peep
330,The Sapphires,PG-13,3/21/2013 0:00,"Keith Thompson, Tony Briggs",Wayne Blair,"Comedy, Drama, Musical & Performing Arts","$2,400,000.00 ",98 minutes,the_sapphires_2012
331,Ai Weiwei: Never Sorry,R,7/26/2012 0:00,NOT_AVAILABLE,Alison Klayman,"Documentary, Special Interest","$500,000.00 ",91 minutes,ai_weiwei_never_sorry_2012
332,Stonados,NR,"Dec 31,9999",Rafael Jordan,Jason Bourque,"Action & Adventure, Drama, Science Fiction & Fantasy",0,88 minutes,stonados
333,I'm Not Jesus Mommy,R,5/5/2011 0:00,"Vaughn Juares, Joseph Schneider (IV)",Vaughn Juares,"Drama, Mystery & Suspense, Science Fiction & Fantasy",0,87 minutes,im_not_jesus_mommy
334,Arthur Christmas,PG,11/22/2011 0:00,"Sarah Smith, Peter Baynham","Barry Cook, Sarah Smith","Animation, Comedy, Kids & Family","$46,440,491.00 ",97 minutes,arthur_christmas
335,The Green Prince,PG-13,9/11/2014 0:00,Nadav Schirman,Nadav Schirman,"Documentary, Special Interest",0,101 minutes,the_green_prince
336,Cavemen,R,2/6/2014 0:00,Herschel Faber,Herschel Faber,"Comedy, Romance",0,88 minutes,cavemen_2013
337,Pay 2 Play: Democracy's High Stakes,NR,9/4/2014 0:00,John Ennis,John Ennis,"Comedy, Documentary, Special Interest","$9,405.00 ",87 minutes,pay_2_play_democracys_high_stakes
338,Dark Places,R,8/6/2015 0:00,"Gilles Paquet-Brenner, Gillian Flynn",Gilles Paquet-Brenner,"Drama, Mystery & Suspense",0,114 minutes,dark_places_2015
339,Hostel: Part III,R,"Dec 31,9999",Michael D. Weiss,Scott Spiegel,"Horror, Mystery & Suspense",0,88 minutes,hostel_part_iii_2011
340,Anesthesia,R,1/7/2016 0:00,Tim Blake Nelson,Tim Blake Nelson,Drama,"$22,386.00 ",90 minutes,anesthesia
341,Killing Them Safely (Tom Swift And His Electric Rifle),NR,11/26/2015 0:00,Nick Berardini,Nick Berardini,Documentary,0,100 minutes,killing_them_safely_2015
342,Sesame Street: Play All Day With Elmo,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,0,sesame_street_play_all_day_with_elmo
343,Magic Journey To Africa,NR,5/6/2010 0:00,Jordi Llompart,Jordi Llompart,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",0,45 minutes,magic_journey_to_africa_2010
344,A Teacher,NR,9/5/2013 0:00,Hannah Fidell,Hannah Fidell,Drama,"$4,000.00 ",77 minutes,a_teacher_2013
345,The Best Man Holiday,R,11/14/2013 0:00,Malcolm D. Lee,Malcolm D. Lee,Comedy,0,120 minutes,the_best_man_holiday_2013
346,The Legends of Nethiah,NR,"Dec 31,9999",Emilio Iasiello,"Russ Emanuel, Tomax Aponte",Science Fiction & Fantasy,0,93 minutes,the_legends_of_nethiah
347,6 Souls,R,4/4/2013 0:00,Michael Cooney,"Måns Mårlind, Björn Stein","Horror, Mystery & Suspense",0,112 minutes,6_souls
348,I Am Thor,NR,11/19/2015 0:00,NOT_AVAILABLE,Ryan Wise,Documentary,0,84 minutes,i_am_thor
349,Copperhead,PG-13,6/27/2013 0:00,"Bill Kauffman, Bill Kaufmann",Ronald F. Maxwell,Drama,"$171,740.00 ",117 minutes,copperhead_2013
350,Rosewood Lane,R,"Dec 31,9999",Victor Salva,Victor Salva,"Horror, Mystery & Suspense",0,97 minutes,rosewood_lane
351,El Bulli: Cooking In Progress,NR,7/26/2011 0:00,"Gereon Wetzel, Anna Ginestí Rosell",Gereon Wetzel,"Art House & International, Documentary, Special Interest","$237,181.00 ",108 minutes,el_bulli_cooking_in_progress_2010
352,Journey To The West,PG-13,3/6/2014 0:00,"Stephen Chow, Ivy Kong, Huo Xin, Lee Sheung-Ching, Derek Kwok, Fung Chih Chiang, Wang Yun, Lu Zheng Yu","Stephen Chow, Chi-kin Kwok, Derek Kwok, Chi-hin Kwok","Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",0,56 minutes,journey_to_the_west_2014
353,The Liquidator,NR,"Dec 31,9999",Timur Zhaksylykov,Akan Satayev,"Action & Adventure, Art House & International, Mystery & Suspense",0,94 minutes,the_liquidator
354,The Powerbroker: Whitney Young's Fight For CIVIL Rights,NR,"Dec 31,9999",NOT_AVAILABLE,"Taylor Hamilton Collins, Christine Khalafian","Documentary, Special Interest, Television",0,90 minutes,the_powerbroker_whitney_youngs_fight_for_civil_rights_2013
355,Playdate,NR,"Dec 31,9999",Kraig X Wenman,"Andrew C. Erin, Andrew Christopher Erin","Drama, Mystery & Suspense",0,85 minutes,playdate
356,Necessary Evil: Super-Villains of DC Comics,NR,"Dec 31,9999",NOT_AVAILABLE,"J.M. Kenny, Scott Devine","Documentary, Special Interest, Television",0,120 minutes,necessary_evil_super_villains_of_dc_comics
357,The Zen Of Bennett,NR,10/23/2012 0:00,NOT_AVAILABLE,Unjoo Moon,"Documentary, Musical & Performing Arts, Special Interest",0,84 minutes,the_zen_of_bennett
358,Wan Chai Baby,NR,"Dec 31,9999",Craig Addison,Craig Addison,"Art House & International, Drama",0,78 minutes,wan_chai_baby
359,Sleeping Beauty,NR,"Dec 31,9999","R. Dessertine, Rebecca Dessertine",Casper Van Dien,"Action & Adventure, Drama, Science Fiction & Fantasy",0,90 minutes,sleeping_beauty_2014
360,The Jungle,R,"Dec 31,9999",Andrew Traucki,Andrew Traucki,Mystery & Suspense,0,84 minutes,the_jungle_2014
361,The Genesis Code,PG,8/24/2010 0:00,"Michael W. Leighton, Michael Wells Leighton","C. Thomas Howell, Patrick Read Johnson","Drama, Romance",0,138 minutes,the_genesis_code
362,The Look of Silence,PG-13,7/16/2015 0:00,Joshua Oppenheimer,Joshua Oppenheimer,"Art House & International, Documentary",0,103 minutes,the_look_of_silence
363,A True Story,NR,10/24/2013 0:00,"Tyler McGee, Cameron Fife",Malcolm Goodwin,Comedy,0,96 minutes,a_true_story_2013
364,Boy and the World (O Menino e o Mundo),PG,12/10/2015 0:00,Alê Abreu,Alê Abreu,"Animation, Art House & International","$47,618.00 ",81 minutes,boy_and_the_world
365,The River Why,PG-13,"Dec 31,9999","Thomas A. Cohen, John Jay Osborn Jr., Charles Mastropietro",Matthew Leutwyler,Drama,0,104 minutes,the_river_why_2010
366,Casual Encounters,R,"Dec 31,9999","Sebastian J. Michael, Erik Steinmetz",Zackary Adler,Comedy,0,82 minutes,
367,Son of Saul,R,12/17/2015 0:00,"László Nemes, Clara Royer",László Nemes,Drama,0,107 minutes,son_of_saul
368,Grand Piano,R,3/6/2014 0:00,Damien Chazelle,Eugenio Mira,Mystery & Suspense,0,90 minutes,grand_piano
369,A Haunting At Silver Falls,NR,"Dec 31,9999","Rachel Long, Cam Cannon, Brian Pittman",Brett Donowho,"Horror, Mystery & Suspense",0,96 minutes,a_haunting_at_silver_falls_2013
370,I Am Divine,NR,10/24/2013 0:00,NOT_AVAILABLE,Jeffrey Schwarz,"Documentary, Special Interest","$60,003.00 ",90 minutes,i_am_divine
371,Heroes Of Dirt,PG-13,9/3/2015 0:00,"Eric Bugbee, Kevyn Bashore, Jill Bugbee",Eric Bugbee,"Action & Adventure, Drama",0,102 minutes,heroes_of_dirt
372,Kid Blue,PG,9/28/1973 0:00,"John Rubinstein, Bud Shrake",James Frawley,"Comedy, Drama, Western",0,100 minutes,kid_blue
373,The Girl,NR,10/19/2012 0:00,"Gwyneth Hughes, Donald Spoto",Julian Jarrold,Drama,0,91 minutes,the_girl_tv_2012
374,Blaze You Out,R,"Dec 31,9999","Mateo Frazier, Diego Joaquin Lopez","Mateo Frazier, Diego Joaquin Lopez",Action & Adventure,0,90 minutes,blaze_you_out_2013
375,Temptation,PG-13,3/28/2013 0:00,Tyler Perry,Tyler Perry,"Drama, Mystery & Suspense","$51,935,916.00 ",111 minutes,temptation_2013
376,Once I Was A Beehive,PG,8/13/2015 0:00,Maclain Nelson,Maclain Nelson,"Comedy, Drama",0,119 minutes,once_i_was_a_beehive
377,Jesus: He Lived Among Us,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,"Animation, Kids & Family, Faith & Spirituality",0,90 minutes,jesus_he_lived_among_us_2011
378,Dark Awakening,NR,7/16/2015 0:00,"Dean Jones, Josh Edwards",Dean Jones,"Horror, Mystery & Suspense, Science Fiction & Fantasy",0,95 minutes,dark_awakening_2014
379,Night of the Living Deb,NR,10/30/2014 0:00,Andy Selsor,Kyle Rankin,Comedy,0,84 minutes,night_of_the_living_deb
380,A River Of Skulls,R,"Dec 31,9999",Suza Lambert Bowser,Suza Lambert Bowser,"Drama, Western",0,100 minutes,a_river_of_skulls
381,The Strange Color of Your Body's Tears,NR,8/28/2014 0:00,"Bruno Forzani, Hélène Cattet","Bruno Forzani, Hélène Cattet","Art House & International, Drama, Mystery & Suspense",0,102 minutes,the_strange_color_of_your_bodys_tears
382,The We and the I,NR,3/7/2013 0:00,"Michel Gondry, Jeffrey Grimshaw, Paul Proch, Jeff Grimshaw",Michel Gondry,"Comedy, Drama, Science Fiction & Fantasy",0,103 minutes,the_we_and_the_i
383,Stone Bros,R,9/23/2009 0:00,NOT_AVAILABLE,Richard Frankland,Comedy,0,99 minutes,stone_bros_2009
384,Boy Wonder,R,10/20/2011 0:00,Michael Morrissey,Michael Morrissey,"Action & Adventure, Drama, Mystery & Suspense",0,93 minutes,boy_wonder
385,InSight,R,9/1/2011 0:00,"Aaron Ginsburg, Wade McIntyre",Richard Gabai,"Drama, Mystery & Suspense","$17,012.00 ",92 minutes,insight
386,Maz Jobrani: I Come In Peace,NR,11/11/2013 0:00,Maz Jobrani,Maz Jobrani,"Comedy, Television",0,71 minutes,maz_jobrani_i_come_in_peace_2013
387,Adventures In Plymptoons!,NR,9/24/2012 0:00,NOT_AVAILABLE,Alexia Anastasio,"Documentary, Musical & Performing Arts, Television",0,85 minutes,adventures_in_plymptoons
388,The Kreutzer Sonata,R,6/16/2009 0:00,"Bernard Rose, Lisa Enos",Bernard Rose,"Drama, Mystery & Suspense",0,99 minutes,kreutzer_sonata
389,Empire State,R,8/29/2013 0:00,Adam Mazer,Dito Montiel,Drama,0,94 minutes,empire_state_2013
390,Breaking Through,NR,"Dec 31,9999",John Swetnam,John Swetnam,Drama,0,101 minutes,breaking_through_2015
391,Stand Up Guys,R,1/31/2013 0:00,Noah Haidle,Fisher Stevens,"Comedy, Drama","$3,301,046.00 ",94 minutes,stand_up_guys
392,The Dog Who Saved Easter,PG,"Dec 31,9999","Peter Sullivan, Richard Gnolfo, Michael Ciminera, Sean Robert Olson",Sean Robert Olson,"Comedy, Kids & Family",0,86 minutes,the_dog_who_saved_easter
393,Loretta Lynn: Still a Mountain Girl,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,132 minutes,loretta_lynn_still_a_mountain_girl
394,Ilya and Emilia Kabakov: Enter Here,NR,11/12/2013 0:00,Amei Wallach,Amei Wallach,"Documentary, Musical & Performing Arts",0,103 minutes,ilya_and_emilia_kabakov_enter_here
395,Where Do We Go Now?,PG-13,5/10/2012 0:00,"Nadine Labaki, Thomas Bidegain, Jihad Hojeily, Rodney Al Haddad",Nadine Labaki,"Art House & International, Comedy, Drama","$531,813.00 ",101 minutes,where_do_we_go_now
396,United,PG-13,"Dec 31,9999",Chris Chibnall,James Strong,"Art House & International, Drama, Sports & Fitness",0,90 minutes,united_2011
397,52 Tuesdays,NR,3/26/2015 0:00,Matthew Cormack,Sophie Hyde,"Drama, Kids & Family",0,114 minutes,52_tuesdays
398,Ritual,R,"Dec 31,9999",Mickey Keating,Mickey Keating,Horror,0,89 minutes,ritual_2013
399,Rhymes For Young Ghouls,R,10/23/2014 0:00,Jeff Barnaby,Jeff Barnaby,"Comedy, Drama, Mystery & Suspense",0,88 minutes,rhymes_for_young_ghouls
400,Newlyweds,R,1/10/2012 0:00,Edward Burns,Edward Burns,Comedy,0,93 minutes,newlyweds
401,Helicopter Mom,NR,4/23/2015 0:00,Duke Tran,Salomé Breziner,Comedy,0,80 minutes,helicopter_mom
402,Omar,NR,2/20/2014 0:00,Hany Abu-Assad,Hany Abu-Assad,Drama,0,96 minutes,omar
403,Southbound,R,2/4/2016 0:00,"David Brückner, Patrick Horvath, Susan Burke (VIII) , Dallas Richard Hallam, Matt Bettinelli-Olpin, Roxanne Benjamin","David Brückner, Patrick Horvath, Roxanne Benjamin","Horror, Mystery & Suspense, Science Fiction & Fantasy","$31,750.00 ",89 minutes,southbound
404,Clear History,NR,"Dec 31,9999","Larry David, Jeff Schaffer, Alec Berg, David Mandel",Greg Mottola,Comedy,0,120 minutes,clear_history
405,Cabin Fever 3: Patient Zero,NR,7/31/2014 0:00,Jake Wade Wall,Kaare Andrews,"Horror, Mystery & Suspense",0,95 minutes,cabin_fever_3_patient_zero
406,The Good Neighbor,NR,9/15/2016 0:00,"Mark Bianculli, Jeff Richard",Kasra Farahani,Mystery & Suspense,0,98 minutes,the_good_neighbor_2016
407,Barney: Tee-Rific Bugs & Animals,NR,"Dec 31,9999","Jim Lewis, Cheryl Ammeter","Fred Holmes, Jim Rowley",NOT_AVAILABLE,0,63 minutes,barney_tee_rific_bugs_and_animals
408,Stephen King's A Good Marriage,R,10/2/2014 0:00,NOT_AVAILABLE,Peter Askin,Mystery & Suspense,0,90 minutes,stephen_kings_a_good_marriage
409,Sitting Target,R,12/31/1971 0:00,Alexander Jacobs,Douglas Hickox,"Action & Adventure, Drama, Mystery & Suspense",0,93 minutes,sitting-target
410,Puerto Ricans In Paris,R,6/9/2016 0:00,"Ian Edelman, Neel Shah",Ian Edelman,Comedy,"$90,884.00 ",100 minutes,puerto_ricans_in_paris
411,Occupy Unmasked,NR,9/20/2012 0:00,Stephen K. Bannon,Stephen K. Bannon,"Documentary, Special Interest","$51,787.00 ",90 minutes,occupy_unmasked
412,Decoding Annie Parker,R,5/1/2014 0:00,"Adam Bernstein, Steven Bernstein, Michael H. Moss, Mike Moss",Steven Bernstein,Drama,"$39,850.00 ",100 minutes,decoding_annie_parker
413,Dark Dungeons,NR,"Dec 31,9999",NOT_AVAILABLE,L. Gabriel Gonda,"Drama, Science Fiction & Fantasy, Special Interest",0,40 minutes,dark_dungeons
414,Zombie Hunter,NR,"Dec 31,9999","Kevin King-Templeton, K. King, Kurt Knight","Kevin King-Templeton, K. King, Kurt Knight","Action & Adventure, Horror, Mystery & Suspense",0,93 minutes,zombie_hunter
415,45 Years,R,12/22/2015 0:00,Andrew Haigh,Andrew Haigh,Drama,0,95 minutes,45_years
416,All's Faire in Love,PG-13,10/27/2011 0:00,"Scott Marshall, Jeffrey Wine, Robert A. White, Jeffrey Ray Wine",Scott Marshall,Comedy,0,104 minutes,alls_faire_in_love
417,Brides of Sodom,NR,"Dec 31,9999",Creep Creepersin,Creep Creepersin,Horror,0,80 minutes,brides_of_sodom
418,The Theatre Bizarre,NR,1/26/2012 0:00,"Richard Stanley, Douglas Buck, Buddy Giovinazzo, Karim Hussain, David Gregory, John Esposito, Zach Chassler, Scarlett Amaris, Emiliano Ranzani","Tom Savini, Jeremy Kasten, Richard Stanley, Douglas Buck, Buddy Giovinazzo, Karim Hussain, David Gregory",Horror,0,114 minutes,the_theatre_bizarre
419,Requiem for the Big East,NR,"Dec 31,9999",NOT_AVAILABLE,"Ezra Edelman, Ezra Edelman","Documentary, Sports & Fitness",0,102 minutes,requiem_for_the_big_east
420,The Forgotten Bomb,NR,"Dec 31,9999",NOT_AVAILABLE,Stuart Overbey,"Documentary, Special Interest",0,95 minutes,the_forgotten_bomb_2011
421,Dragon Warriors,NR,"Dec 31,9999","Maclain Nelson, Stephen Shimek","Maclain Nelson, Stephen Shimek",Comedy,0,122 minutes,dragon_warriors
422,11 settembre 1683 (The Day of the Siege: September Eleven 1683),R,"Dec 31,9999",Valerio Massimo Manfredi,Renzo Martinelli,"Action & Adventure, Art House & International, Drama",0,114 minutes,11_settembre_1683
423,Tu Xia Chuan Qi (Legend of Kung Fu Rabbit),PG,"Dec 31,9999",Jingzhi Zou,Sun Lijun,"Action & Adventure, Animation",0,90 minutes,tu_xia_chuan_qi
424,Safe House,R,2/9/2012 0:00,David Guggenheim,Daniel Espinosa,"Action & Adventure, Mystery & Suspense","$126,149,655.00 ",114 minutes,safe_house_2012
425,We'll Never Have Paris,R,1/22/2015 0:00,Simon Helberg,"Simon Helberg, Jocelyn Towne","Comedy, Romance",0,95 minutes,well_never_have_paris_2014
426,Heart of the Country,PG,"Dec 31,9999",John Ward,John Ward,"Drama, Romance",0,87 minutes,heart_of_the_country_2013
427,Stella Days,NR,6/21/2012 0:00,"Antoine O. Flatharta, Michael Doorley, Antoine O'Flatharta",Thaddeus O'Sullivan,"Art House & International, Drama",0,90 minutes,stella_days
428,Monsters University,G,6/20/2013 0:00,"Daniel Gerson, Dan Scanlon, Robert L. Baird",Dan Scanlon,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy","$260,300,000.00 ",95 minutes,monsters_university
429,Music for Millions,NR,12/17/1944 0:00,Myles Connolly,Henry Koster,"Comedy, Drama, Musical & Performing Arts",0,120 minutes,music-for-millions
430,Appleseed Alpha,PG-13,"Dec 31,9999","Masamune Shirow, Marianne Krawczyk",Shinji Aramaki,"Animation, Science Fiction & Fantasy",0,93 minutes,appleseed_alpha_2014
431,Educazione siberiana,R,"Dec 31,9999","Gabriele Salvatores, Sandro Petraglia, Stefano Rulli",Gabriele Salvatores,"Art House & International, Drama",0,103 minutes,educazione_siberiana
432,Alien Reptilian Legacy,NR,"Dec 31,9999",Chris Turner,Chris Turner,Documentary,0,91 minutes,alien_reptilian_legacy
433,The Substance: Albert Hofmann's LSD,NR,"Dec 31,9999",Martin Witz,Martin Witz,"Documentary, Special Interest",0,90 minutes,the_substance_albert_hofmanns_lsd
434,The Adored,NR,"Dec 31,9999",Jody Medland,"Carl Medland, Amarjeet Singh","Drama, Mystery & Suspense",0,97 minutes,the_adored
435,Army of the Damned,R,"Dec 31,9999",Tom DeNucci,Tom DeNucci,Horror,0,90 minutes,army_of_the_damned
436,La princesse de Montpensier (The Princess of Montpensier),NR,4/14/2011 0:00,"Bertrand Tavernier, Jean Cosmos, François-Olivier Rousseau",Bertrand Tavernier,"Action & Adventure, Art House & International, Drama","$340,917.00 ",139 minutes,la_princesse_de_montpensier
437,Beloved Sisters,NR,1/8/2015 0:00,Dominik Graf,Dominik Graf,Drama,0,170 minutes,beloved_sisters_2015
438,Eames: The Architect And The Painter,NR,11/17/2011 0:00,Jason Cohn,"Bill Jersey, Jason Cohn","Documentary, Special Interest","$147,591.00 ",84 minutes,eames_the_architect_and_the_painter_2011
439,The Oyler House: Richard Neutra's Desert Retreat,NR,"Dec 31,9999",NOT_AVAILABLE,Mike Dorsey,Documentary,0,46 minutes,the_oyler_house_richard_neutras_desert_retreat_2013
440,Jupiter Ascending,PG-13,2/5/2015 0:00,"Andy Wachowski, Lana Wachowski","Andy Wachowski, Lana Wachowski","Action & Adventure, Science Fiction & Fantasy",0,125 minutes,jupiter_ascending_2014
441,The Caller,R,8/25/2011 0:00,"Luillo Ruiz, Sergio Casci",Matthew Parkhill,Mystery & Suspense,0,91 minutes,
442,The Birth of a Nation,G,3/2/1915 0:00,"D.W. Griffith, Frank Woods, Frank E. Woods, Thomas F. Dixen",D.W. Griffith,"Classics, Drama",0,192 minutes,birth_of_a_nation
443,Truth,NR,1/9/2014 0:00,Rob Moretti,Rob Moretti,Mystery & Suspense,0,94 minutes,truth_2013
444,Mojin - The Lost Legend,NR,12/17/2015 0:00,"Chang Chia-lu, Zhang Muye",Wuershan,Action & Adventure,"$1,243,810.00 ",120 minutes,mojin_the_lost_legend
445,Criminal Activities,NR,11/19/2015 0:00,Robert Lowell,Jackie Earle Haley,Drama,0,94 minutes,criminal_activities
446,Patch Town,NR,"Dec 31,9999","Trevor Martin, Catherine Gourdier, Christopher Bond, Craig Goodwill",Craig Goodwill,"Comedy, Science Fiction & Fantasy",0,26 minutes,patch_town
447,Northwest Passage,NR,2/22/1940 0:00,"Laurence Stallings, Talbot Jennings","King Vidor, Jack Conway","Action & Adventure, Classics, Drama, Western",0,126 minutes,northwest_passage
448,Tio Papi,PG,9/5/2013 0:00,"Joey Dedio, Brian Herskowitz",Fro Rojas,"Comedy, Drama, Kids & Family",0,90 minutes,tio_papi_2013
449,Angus Buchan's Ordinary People,PG-13,"Dec 31,9999",NOT_AVAILABLE,F.C. Hamman,"Art House & International, Drama",0,115 minutes,angus_buchans_ordinary_people
450,Breaking Through,NR,6/2/2014 0:00,"Cindy Abel, Jesse Freeman",Cindy Abel,"Documentary, Drama, Special Interest",0,85 minutes,breaking_through_2014
451,Clash of the Empires,NR,11/12/2012 0:00,Eric Forsberg,"Joseph Lawson, Joseph J. Lawson","Action & Adventure, Science Fiction & Fantasy",0,90 minutes,clash_of_the_empires
452,Krrish 3,NR,10/31/2013 0:00,"Rakesh Roshan, Honey Irani, Robin Bhatt, Irfan Kamal",Rakesh Roshan,"Action & Adventure, Art House & International, Science Fiction & Fantasy, Romance",0,150 minutes,krrish_3
453,Conspiracy Encounters,NR,"Dec 31,9999",Daniel Pace,Daniel Pace,NOT_AVAILABLE,0,105 minutes,conspiracy_encounters
454,Starship Troopers: Invasion,R,"Dec 31,9999",Flint Dille,Shinji Aramaki,"Action & Adventure, Animation, Science Fiction & Fantasy",0,89 minutes,starship_troopers_invasion_2012
455,Once Upon a Time in Vietnam,R,"Dec 31,9999",Dustin Nguyen,Dustin Nguyen,Action & Adventure,0,100 minutes,once_upon_a_time_in_vietnam_2014
456,Outpost 3: Rise Of The Spetsnaz,NR,"Dec 31,9999","Rae Brunton, Rae Brunton",Kieran Parker,"Action & Adventure, Horror",0,87 minutes,outpost_3_rise_of_the_spetsnaz
457,La religieuse (The Nun),NR,"Dec 31,9999","Guillaume Nicloux, Jérôme Beaujour, Denis Diderot",Guillaume Nicloux,Drama,0,114 minutes,la_religieuse_2013
458,Margaret Thatcher: The Iron Lady,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,Documentary,0,90 minutes,margaret_thatcher_the_iron_lady
459,Endless Love,PG-13,2/13/2014 0:00,"Shana Feste, Joshua Safran",Shana Feste,"Drama, Romance",0,105 minutes,endless_love_2014
460,The Myth Of The American Sleepover,NR,7/21/2011 0:00,David Robert Mitchell,David Robert Mitchell,"Comedy, Drama","$39,001.00 ",93 minutes,myth_of_the_ameican_sleepover
461,Ricki And The Flash,PG-13,8/6/2015 0:00,Diablo Cody,Jonathan Demme,"Comedy, Drama",0,101 minutes,ricki_and_the_flash
462,Survivor,NR,"Dec 31,9999",John Lyde,John Lyde,"Action & Adventure, Science Fiction & Fantasy",0,93 minutes,
463,Don't Let Him In,NR,"Dec 31,9999","Chris Andrews, Kelly Smith",Kelly Smith,Horror,0,79 minutes,dont_let_him_in
464,Saltwater,NR,"Dec 31,9999",Ronnie Kerr,Charlie Vaughn,"Drama, Romance",0,81 minutes,saltwater_2012
465,I Give It a Year,R,8/8/2013 0:00,Dan Mazer,Dan Mazer,"Art House & International, Comedy, Romance",0,97 minutes,i_give_it_a_year
466,Night Watch,PG,"Dec 31,9999",Tony Williamson,Brian G. Hutton,"Drama, Horror, Mystery & Suspense",0,105 minutes,night_watch
467,The von Trapp Family: A Life of Music,NR,"Dec 31,9999","Tim Sullivan, Christoph Silber, Christopher Silber",Ben Verbong,"Drama, Musical & Performing Arts",0,98 minutes,the_von_trapp_family_a_life_of_music
468,Lore,NR,2/7/2013 0:00,"Cate Shortland, Robin Mukherjee",Cate Shortland,"Art House & International, Drama",0,108 minutes,lore
469,General Education,PG-13,8/23/2012 0:00,"Tom Morris, Elliot Feld, Jaz Kalkat, Elliot Field",Tom Morris,Comedy,0,85 minutes,general_education_2012
470,Dick Figures: The Movie,NR,"Dec 31,9999",NOT_AVAILABLE,"Ed Skudder, Zack Keller","Action & Adventure, Animation, Comedy",0,73 minutes,dick_figures_the_movie
471,Last Kind Words,NR,"Dec 31,9999",Kevin Barker,Kevin Barker,Horror,0,87 minutes,last_kind_words
472,Guido,NR,9/16/2013 0:00,Alki David,Colin Campbell,"Action & Adventure, Drama",0,80 minutes,guido
